# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
3.281301301301301E+007,8.651199746607046E-001,-7.649927398650297E-002,4.037765187989905E-002,-1.246333852557018E-001,4.006979178289703E-002,-1.243780009267336E-001,8.650648294889181E-001,-7.497488667441610E-002,8.650994503446704E-001,-7.657360199790771E-002,
3.331321321321321E+007,8.649487359948279E-001,-7.766964278693259E-002,3.799736890492976E-002,-1.253742706125308E-001,3.768748975656433E-002,-1.250964641162918E-001,8.649962114802280E-001,-7.625524711977909E-002,8.649239115518963E-001,-7.774368985724628E-002,
3.381341341341341E+007,8.647994871538586E-001,-7.886560244437163E-002,3.560634597277724E-002,-1.260705288183812E-001,3.530380177966823E-002,-1.257748417178966E-001,8.648816464690456E-001,-7.740659309279829E-002,8.647783113825558E-001,-7.893717552076400E-002,
3.431361361361361E+007,8.645586704468773E-001,-8.003744329124846E-002,3.324656803050827E-002,-1.266716227240073E-001,3.287836594799457E-002,-1.263742862714475E-001,8.646925832991681E-001,-7.856655740651281E-002,8.645325077217854E-001,-8.011118308793254E-002,
3.481381381381381E+007,8.644345890006940E-001,-8.124341038461631E-002,3.084008129659068E-002,-1.272971772269904E-001,3.045825695373512E-002,-1.269760619968944E-001,8.647013804386046E-001,-7.970453011431042E-002,8.644143004914424E-001,-8.132966031175835E-002,
3.531401401401401E+007,8.643273447878607E-001,-8.248053631007829E-002,2.839490934911216E-002,-1.278353728241339E-001,2.800866837007959E-002,-1.275233823125160E-001,8.645550656902866E-001,-8.092095284821772E-002,8.642990568874969E-001,-8.255944897486073E-002,
3.581421421421421E+007,8.641579470380997E-001,-8.373256577279477E-002,2.594731860531542E-002,-1.283346916537297E-001,2.555783943267667E-002,-1.280151996500489E-001,8.644811273327706E-001,-8.213824004946330E-002,8.641281480794709E-001,-8.382255590782772E-002,
3.631441441441441E+007,8.640510066215872E-001,-8.495920308784609E-002,2.342824294943097E-002,-1.288107497133050E-001,2.313411911832581E-002,-1.284898718532085E-001,8.644247973835463E-001,-8.333966903510638E-002,8.640075797821920E-001,-8.505488685968488E-002,
3.681461461461461E+007,8.639123459612228E-001,-8.621647511381637E-002,2.098963791491667E-002,-1.292077519076678E-001,2.065680589043941E-002,-1.288620476799339E-001,8.643455527408173E-001,-8.464046411298452E-002,8.638542862960634E-001,-8.631518220444617E-002,
3.731481481481481E+007,8.637787057342424E-001,-8.726975672858192E-002,1.855927534527998E-002,-1.295444101525127E-001,1.823538832048212E-002,-1.292101265162045E-001,8.642616597833129E-001,-8.594726559890904E-002,8.637064340758737E-001,-8.735801501552690E-002,
